Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
ED01006,0006,,MINES AND MINERALS LYING BENEATH LAND AT 6 BOWBURN,Freehold Acquisition,,27-Apr-15,34000
D501150,0008,,"Land at Winterton Hospital, Sedgefield",Freehold Acquisition,,28-Apr-15,1
D000889,0008,,LAND AND PROPERTY ON THE EAST SIDE OF QUEEN STREET,Freehold Acquisition,,03-Jun-15,75000
PL00517,0004,,"5-6 PARSONS ROAD, NORTH EAST INDUSTRIAL ESTATE",Freehold Acquisition,,09-Jul-15,80000
D000601,0052,,"4 DENE TERRACE, CHILTON",Freehold Acquisition,,04-Sep-15,48773.81
OP00012,0001,,"LAND ON THE NORTH SIDE OF CARR LANE, SPENNYMOOR",Freehold Acquisition,,15-Sep-15,1
D001121,0001,,"LAND NEAR YOUENS CRESCENT, NEWTON AYCLIFFE",Freehold Acquisition,,18-Sep-15,0
PL00517,0005,,"9 FARADAY ROAD, NEIE, PETERLEE ",Freehold Acquisition,,13-Nov-15,75500
D001023,0006,,"LAND AT MALVERN CRESCENT, SEAHAM",Freehold Acquisition,,24-Feb-16,0
D001057,0006,,MINES & MINERALS AT HILL HOUSE FARM COATHAM MUNDEVILLE DARLINGTON COUNTY DURHAM,Freehold Acquisition,,31-Mar-16,555000
D303796,0002,,BELMONT COMMUNITY CENTRE ,Freehold Acquisition,,22-Apr-16,0
D001318,0001,,"LAND AT FRONT STREET, STANLEY ",Freehold Acquisition,,09-Aug-16,240000
ED00047,0005,,MINES & MINERALS BENEATH MIDDLESTONE MOOR FORMER PRIMARY PLAYING FIELD,Freehold Acquisition,,17-Aug-16,35000
D001317,0001,,SALVUS HOUSE AYKLEY HEADS DURHAM COUNTY DURHAM,Freehold Acquisition,,19-Aug-16,3000000
D001324,0001,,"LAND AT GREENFIELD BRIDGE, COWSHILL",Freehold Acquisition,,07-Sep-16,1000
D401585,0002,,LAND TO THE WEST OF SALTERS LANE OPEN SPACE,Freehold Acquisition,,14-Sep-16,1
PL00511,0002,,"3 LEAZES LANE, WOLSINGHAM, BISHOP AUCKLAND COUNTY DURHAM DL13 3DP",Freehold Acquisition,,11-Oct-16,275000
D800264,0002,,LAND AT LAMBOURNE CLOSE BOURNEMOOR CHESTER LE STREET,Freehold Acquisition,,30-Nov-16,0
SS00252,0013,,7 ATHERTON STREET DURHAM COUNTY DURHAM,Freehold Acquisition,,16-Dec-16,275000
